player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,category
Mason Plumlee,-150.0,110.0,5.5,2.0,4.0,10.0,13.0,18.0,14.0,4.0,6.0,4.0,7.0,8.2,Points
Max Christie,-137.0,104.0,12.5,2.0,6.0,12.0,12.0,8.0,13.0,10.0,5.0,8.0,10.0,8.6,Points
Max Strus,-130.0,100.0,9.5,9.0,10.0,17.0,3.0,11.0,11.0,14.0,2.0,17.0,11.0,10.5,Points
Miles Bridges,-122.0,-108.0,22.5,21.0,31.0,35.0,26.0,46.0,23.0,35.0,18.0,20.0,9.0,26.4,Points
Mouhamed Gueye,-121.0,-110.0,5.5,5.0,6.0,14.0,6.0,4.0,15.0,2.0,5.0,9.0,2.0,6.8,Points
Naji Marshall,-120.0,-108.0,16.5,21.0,15.0,23.0,34.0,29.0,22.0,18.0,7.0,3.0,9.0,18.1,Points
Naz Reid,-105.0,-130.0,14.5,8.0,8.0,20.0,15.0,13.0,23.0,7.0,27.0,3.0,22.0,14.6,Points
Nick Richards,-157.0,-105.0,9.5,10.0,14.0,18.0,16.0,4.0,19.0,10.0,6.0,10.0,15.0,12.2,Points
Nick Smith Jr,-125.0,-105.0,8.5,,,,,,,,,,,,Points
Nicolas Batum,103.0,-133.0,6.5,11.0,6.0,8.0,9.0,17.0,5.0,3.0,6.0,2.0,0.0,6.7,Points
Nicolas Claxton,-125.0,-105.0,11.5,,,,,,,,,,,,Points
Norman Powell,-145.0,-105.0,17.5,4.0,41.0,18.0,26.0,22.0,20.0,27.0,27.0,23.0,33.0,24.1,Points
Onyeka Okongwu,-125.0,-106.0,14.5,18.0,7.0,15.0,16.0,20.0,6.0,16.0,23.0,13.0,17.0,15.1,Points
P.J. Washington,-148.0,108.0,14.5,4.0,0.0,17.0,24.0,6.0,22.0,25.0,19.0,17.0,22.0,15.6,Points
Paolo Banchero,-167.0,-103.0,25.5,43.0,34.0,25.0,29.0,20.0,41.0,23.0,41.0,26.0,19.0,30.1,Points
Quentin Grimes,-157.0,100.0,22.5,29.0,35.0,25.0,6.0,30.0,14.0,44.0,3.0,9.0,16.0,21.1,Points
R.J. Barrett,-121.0,-110.0,19.5,,,,,,,,,,,,Points
Royce O'Neale,-130.0,-102.0,6.5,9.0,2.0,9.0,6.0,6.0,12.0,0.0,18.0,6.0,10.0,7.8,Points
Rudy Gobert,-110.0,-120.0,12.5,12.0,11.0,16.0,20.0,12.0,15.0,13.0,10.0,19.0,16.0,14.4,Points
Ryan Dunn,-125.0,-105.0,9.5,16.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,Points
Scottie Barnes,-132.0,100.0,19.5,20.0,14.0,18.0,22.0,17.0,10.0,24.0,21.0,20.0,13.0,17.9,Points
Shaedon Sharpe,-110.0,-118.0,19.5,21.0,9.0,12.0,19.0,25.0,20.0,18.0,25.0,36.0,12.0,19.7,Points
Shai Gilgeous-Alexander,-118.0,-112.0,33.5,48.0,34.0,25.0,40.0,41.0,51.0,31.0,31.0,27.0,39.0,36.7,Points
Spencer Dinwiddie,-167.0,100.0,14.5,20.0,14.0,28.0,4.0,10.0,8.0,10.0,12.0,8.0,9.0,12.3,Points
Taurean Prince,-115.0,-115.0,8.5,14.0,7.0,18.0,6.0,13.0,3.0,8.0,9.0,10.0,6.0,9.4,Points
Toumani Camara,-115.0,-114.0,11.5,14.0,7.0,7.0,7.0,12.0,11.0,19.0,19.0,11.0,8.0,11.5,Points
Trae Young,-128.0,-104.0,24.5,17.0,35.0,36.0,22.0,28.0,12.0,19.0,17.0,11.0,38.0,23.5,Points
Tyus Jones,-116.0,-111.0,7.5,20.0,11.0,12.0,2.0,6.0,6.0,10.0,9.0,15.0,3.0,9.4,Points
Walker Kessler,-115.0,-112.0,11.5,9.0,11.0,18.0,14.0,9.0,25.0,11.0,4.0,16.0,13.0,13.0,Points
Wendell Carter Jr,-120.0,-110.0,8.5,,,,,,,,,,,,Points
Zaccharie Risacher,-145.0,101.0,12.5,15.0,8.0,22.0,6.0,11.0,7.0,27.0,12.0,11.0,2.0,12.1,Points
Ziaire Williams,-115.0,-114.0,11.5,14.0,11.0,14.0,7.0,19.0,10.0,7.0,11.0,5.0,18.0,11.6,Points
description,,,,,,,,,,,,,,,Points
