player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,projection,recent_form,edge,Category,AI_Projection,AI_Edge
Miles Bridges,-115.0,-115.0,7.5,12.0,8.0,9.0,9.0,7.0,12.0,7.0,6.0,3.0,13.0,8.6,8.05,-74.16666666666667,1.0999999999999996,Unknown,8.13049999999999,0.6304999999999907
Miles McBride,-165.0,124.0,2.5,2.0,5.0,4.0,2.0,4.0,2.0,2.0,3.0,6.0,0.0,3.0,2.75,-12.833333333333334,0.5,Unknown,2.7475,0.24750000000000005
Moses Moody,-152.0,108.0,3.5,7.0,5.0,4.0,5.0,2.0,1.0,1.0,4.0,2.0,6.0,3.7,3.6,-13.5,0.2000000000000001,Unknown,3.5565000000000015,0.05650000000000155
Mouhamed Gueye,-136.0,102.0,3.5,0.0,5.0,5.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,2.3,2.9,-10.166666666666666,-1.2000000000000002,Unknown,2.9295,-0.5705
Myles Turner,102.0,-136.0,7.5,6.0,9.0,4.0,6.0,3.0,10.0,2.0,6.0,10.0,0.0,5.6,6.55,-8.833333333333334,-1.9000000000000004,Unknown,6.4828,-1.0171999999999999
Nick Richards,-105.0,-127.0,8.5,9.0,5.0,7.0,8.0,12.0,16.0,4.0,8.0,10.0,6.0,8.5,8.5,-74.5,0.0,Unknown,8.588999999999997,0.08899999999999686
Nikola Jokic,-125.0,-105.0,13.5,13.0,21.0,15.0,14.0,17.0,14.0,9.0,13.0,17.0,15.0,14.8,14.15,-72.16666666666667,1.3000000000000007,Unknown,14.231999999999994,0.731999999999994
Nikola Vucevic,-132.0,100.0,9.5,11.0,9.0,14.0,7.0,4.0,11.0,11.0,11.0,12.0,11.0,10.1,9.8,-7.5,0.5999999999999996,Unknown,9.83449999999999,0.3344999999999896
OG Anunoby,-120.0,-110.0,4.5,8.0,4.0,3.0,9.0,3.0,9.0,2.0,0.0,1.0,4.0,4.3,4.4,-75.16666666666667,-0.2000000000000001,Unknown,4.394999999999997,-0.10500000000000309
Onyeka Okongwu,-148.0,112.0,10.5,16.0,13.0,9.0,12.0,13.0,9.0,8.0,9.0,7.0,14.0,11.0,10.75,-8.5,0.5,Unknown,10.656500000000001,0.1565000000000012
Orlando Robinson,-107.0,-125.0,7.5,7.0,7.0,5.0,7.0,8.0,3.0,2.0,7.0,5.0,4.0,5.5,6.5,-74.83333333333333,-2.0,Unknown,6.465499999999999,-1.0345000000000013
P.J. Washington,-137.0,104.0,7.5,5.0,10.0,4.0,7.0,3.0,13.0,14.0,9.0,8.0,19.0,9.2,8.35,-8.5,1.6999999999999993,Unknown,8.408500000000007,0.9085000000000072
Paolo Banchero,-154.0,114.0,7.5,6.0,9.0,8.0,4.0,6.0,5.0,5.0,6.0,10.0,8.0,6.7,7.1,-10.833333333333334,-0.7999999999999998,Unknown,7.0050000000000106,-0.49499999999998945
Pascal Siakam,-125.0,-105.0,7.5,7.0,9.0,2.0,6.0,6.0,8.0,9.0,12.0,4.0,5.0,6.8,7.15,-74.16666666666667,-0.7000000000000002,Unknown,7.1029999999999935,-0.39700000000000646
Precious Achiuwa,-145.0,105.0,3.5,5.0,15.0,1.0,6.0,1.0,10.0,9.0,8.0,12.0,4.0,7.1,5.3,-12.166666666666666,3.5999999999999996,Unknown,5.396500000000003,1.8965000000000032
Scottie Barnes,-148.0,-108.0,7.5,2.0,12.0,13.0,3.0,8.0,3.0,9.0,6.0,11.0,10.0,7.7,7.6,-82.83333333333333,0.2000000000000001,Unknown,7.591500000000008,0.09150000000000791
Shai Gilgeous-Alexander,-125.0,-105.0,4.5,8.0,2.0,5.0,4.0,3.0,6.0,10.0,8.0,2.0,8.0,5.6,5.05,-75.16666666666667,1.0999999999999996,Unknown,5.084500000000006,0.5845000000000056
Stephen Curry,105.0,-140.0,4.5,3.0,4.0,7.0,3.0,5.0,4.0,4.0,4.0,1.0,5.0,4.0,4.25,-10.166666666666666,-0.5,Unknown,4.272500000000004,-0.2274999999999956
Tari Eason,-120.0,-110.0,6.5,2.0,2.0,14.0,4.0,6.0,3.0,9.0,6.0,4.0,6.0,5.6,6.05,-74.5,-0.9000000000000004,Unknown,6.091000000000003,-0.40899999999999714
Toumani Camara,-103.0,-132.0,6.5,5.0,10.0,4.0,9.0,5.0,3.0,5.0,8.0,10.0,7.0,6.6,6.55,-76.16666666666667,0.0999999999999996,Unknown,6.561,0.06099999999999994
Trae Young,-165.0,108.0,2.5,4.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.5,2.5,-18.166666666666668,0.0,Unknown,2.4959999999999996,-0.004000000000000448
Tre Jones,-149.0,105.0,3.5,5.0,5.0,8.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,2.9,3.2,-13.5,-0.6000000000000001,Unknown,3.2061499999999943,-0.2938500000000057
Tyler Herro,105.0,-135.0,5.5,8.0,6.0,3.0,4.0,3.0,2.0,6.0,7.0,3.0,8.0,5.0,5.25,-8.166666666666666,-0.5,Unknown,5.246,-0.25399999999999956
Tyrese Haliburton,-130.0,100.0,3.5,3.0,5.0,2.0,3.0,1.0,1.0,5.0,2.0,5.0,2.0,2.9,3.2,-8.833333333333334,-0.6000000000000001,Unknown,3.217499999999995,-0.2825000000000051
Tyrese Maxey,-174.0,120.0,2.5,0.0,3.0,4.0,0.0,2.0,5.0,5.0,4.0,3.0,3.0,2.9,2.7,-17.166666666666668,0.3999999999999999,Unknown,2.7089999999999956,0.20899999999999563
Walker Kessler,-130.0,100.0,13.5,25.0,9.0,13.0,14.0,17.0,19.0,8.0,12.0,22.0,18.0,15.7,14.6,-5.5,2.1999999999999993,Unknown,14.269500000000003,0.7695000000000025
Zaccharie Risacher,-136.0,100.0,3.5,1.0,4.0,4.0,1.0,9.0,3.0,3.0,6.0,12.0,2.0,4.5,4.0,-10.833333333333334,1.0,Unknown,4.006499999999999,0.5064999999999991
Zach Edey,-105.0,-130.0,9.5,12.0,12.0,9.0,5.0,9.0,11.0,8.0,9.0,6.0,11.0,9.2,9.35,-75.16666666666667,-0.3000000000000007,Unknown,9.198100000000007,-0.30189999999999273
Zach LaVine,-115.0,-115.0,4.5,7.0,4.0,4.0,3.0,6.0,8.0,3.0,5.0,2.0,3.0,4.5,4.5,-75.16666666666667,0.0,Unknown,4.5005,0.0004999999999997229
A.J. Lawson,130.0,-165.0,1.5,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.44,0.97,-11.166666666666666,-1.06,Unknown,1.1490000000000002,-0.35099999999999976
Aaron Nesmith,-115.0,-115.0,1.5,2.0,2.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,1.3,1.4,-76.16666666666667,-0.1999999999999999,Unknown,1.3485000000000023,-0.15149999999999775
Aaron Wiggins,110.0,-145.0,1.5,1.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,5.0,2.1,1.8,-11.166666666666666,0.6000000000000001,Unknown,1.8015000000000017,0.30150000000000166
Al Horford,105.0,-135.0,2.5,4.0,4.0,0.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,1.8,2.15,-9.166666666666666,-0.7,Unknown,2.1800000000000024,-0.3199999999999976
Alex Caruso,-130.0,-104.0,2.5,2.0,1.0,1.0,2.0,3.0,4.0,2.0,6.0,2.0,5.0,2.8,2.65,-77.16666666666667,0.2999999999999998,Unknown,2.661499999999997,0.1614999999999971
Alperen Sengun,-167.0,124.0,5.5,6.0,8.0,7.0,5.0,3.0,3.0,7.0,2.0,4.0,5.0,5.0,5.25,-12.5,-0.5,Unknown,5.247000000000001,-0.2529999999999992
Andrew Nembhard,100.0,-130.0,7.5,12.0,10.0,6.0,4.0,11.0,3.0,5.0,1.0,4.0,4.0,6.0,6.75,-7.5,-1.5,Unknown,6.3572000000000015,-1.1427999999999985
Andrew Wiggins,-102.0,-130.0,2.5,1.0,6.0,1.0,4.0,1.0,3.0,5.0,2.0,6.0,2.0,3.1,2.8,-76.5,0.6000000000000001,Unknown,2.802000000000004,0.30200000000000404
Anfernee Simons,-155.0,100.0,4.5,1.0,5.0,6.0,3.0,2.0,6.0,5.0,6.0,4.0,7.0,4.5,4.5,-16.833333333333332,0.0,Unknown,4.5,0.0
Bam Adebayo,-130.0,100.0,3.5,2.0,4.0,5.0,5.0,4.0,7.0,3.0,1.0,1.0,1.0,3.3,3.4,-8.833333333333334,-0.2000000000000001,Unknown,3.376999999999999,-0.12300000000000111
Bilal Coulibaly,-125.0,-105.0,3.5,4.0,0.0,0.0,3.0,3.0,2.0,6.0,4.0,8.0,4.0,3.4,3.45,-75.5,-0.1,Unknown,3.4664999999999964,-0.03350000000000364
Bismack Biyombo,-210.0,155.0,0.5,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.2,0.85,-18.166666666666668,0.7,Unknown,0.9340000000000005,0.4340000000000005
Bol Bol,-140.0,105.0,0.5,1.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75,-11.5,0.5,Unknown,0.7829,0.28290000000000004
Bradley Beal,-135.0,100.0,4.5,6.0,9.0,2.0,3.0,11.0,1.0,4.0,6.0,6.0,3.0,5.1,4.8,-10.166666666666666,0.5999999999999996,Unknown,4.837500000000005,0.3375000000000048
Cameron Johnson,-180.0,120.0,2.5,4.0,4.0,0.0,4.0,7.0,1.0,4.0,2.0,3.0,3.0,3.2,2.85,-19.166666666666668,0.7000000000000002,Unknown,2.910500000000001,0.4105000000000012
Cameron Payne,-160.0,120.0,2.5,3.0,1.0,4.0,3.0,3.0,2.0,0.0,4.0,5.0,4.0,2.9,2.7,-12.5,0.3999999999999999,Unknown,2.707499999999996,0.20749999999999602
Carlton Carrington,-160.0,108.0,4.5,3.0,9.0,7.0,4.0,4.0,2.0,4.0,2.0,5.0,5.0,4.5,4.5,-15.833333333333334,0.0,Unknown,4.4995,-0.0004999999999997229
Cason Wallace,130.0,-175.0,2.5,1.0,1.0,4.0,4.0,4.0,2.0,1.0,2.0,5.0,0.0,2.4,2.45,-14.166666666666666,-0.1,Unknown,2.450499999999996,-0.049500000000004096
Chris Paul,-143.0,100.0,6.5,7.0,6.0,7.0,6.0,8.0,4.0,10.0,7.0,2.0,10.0,6.7,6.6,-12.166666666666666,0.2000000000000001,Unknown,6.627500000000007,0.1275000000000066
