Under,Aaron Gordon,-125,4.5
Over,Aaron Gordon,-105,4.5
Over,Aaron Gordon,-108,4.5
Under,Aaron Gordon,-120,4.5
Over,Aaron Gordon,-110,4.5
Under,Aaron Gordon,-120,4.5
Over,Aaron Nesmith,128,4.5
Under,Aaron Nesmith,-172,4.5
Over,Aaron Nesmith,114,4.5
Under,Aaron Nesmith,-145,4.5
Over,Aaron Nesmith,117,4.5
Under,Aaron Nesmith,-152,4.5
Over,Aaron Nesmith,115,4.5
Under,Aaron Nesmith,-155,4.5
Over,Alperen Sengun,-114,10.5
Under,Alperen Sengun,-114,10.5
Over,Alperen Sengun,100,10.5
Under,Alperen Sengun,-132,10.5
Under,Alperen Sengun,-120,10.5
Over,Alperen Sengun,-110,10.5
Over,Alperen Sengun,100,10.5
Under,Alperen Sengun,-135,10.5
Over,Alperen Sengun,-115,10.5
Under,Alperen Sengun,-115,10.5
Over,Andre Drummond,102,9.5
Under,Andre Drummond,-136,9.5
Over,Andre Drummond,-115,9.5
Under,Andre Drummond,-115,9.5
Over,Andre Drummond,-101,9.5
Under,Andre Drummond,-128,9.5
Over,Andre Drummond,100,9.5
Under,Andre Drummond,-135,9.5
Over,Andre Drummond,105,9.5
Under,Andre Drummond,-135,9.5
Over,Andrew Nembhard,134,3.5
Under,Andrew Nembhard,-180,3.5
Over,Andrew Nembhard,120,3.5
Under,Andrew Nembhard,-154,3.5
Over,Andrew Nembhard,-169,2.5
Under,Andrew Nembhard,130,2.5
Over,Andrew Nembhard,135,3.5
Under,Andrew Nembhard,-185,3.5
Over,Andrew Wiggins,-103,4.5
Under,Andrew Wiggins,-125,4.5
Over,Andrew Wiggins,-106,4.5
Under,Andrew Wiggins,-125,4.5
Over,Andrew Wiggins,-115,4.5
Under,Andrew Wiggins,-115,4.5
Over,Andrew Wiggins,100,4.5
Under,Andrew Wiggins,-135,4.5
Over,Andrew Wiggins,-108,4.5
Under,Andrew Wiggins,-124,4.5
Over,Anthony Edwards,-149,4.5
Under,Anthony Edwards,115,4.5
Over,Anthony Edwards,-152,4.5
Under,Anthony Edwards,116,4.5
Under,Anthony Edwards,110,4.5
Over,Anthony Edwards,-140,4.5
Over,Anthony Edwards,-155,4.5
Under,Anthony Edwards,115,4.5
Over,Anthony Edwards,-160,4.5
Under,Anthony Edwards,120,4.5
Over,Austin Reaves,-114,4.5
Under,Austin Reaves,-114,4.5
Over,Bam Adebayo,-130,9.5
Under,Bam Adebayo,100,9.5
Over,Bam Adebayo,-144,9.5
Under,Bam Adebayo,108,9.5
Under,Bam Adebayo,-110,9.5
Over,Bam Adebayo,-120,9.5
Over,Bam Adebayo,-145,9.5
Under,Bam Adebayo,105,9.5
Over,Bam Adebayo,-141,9.5
Under,Bam Adebayo,106,9.5
Over,Bam Adebayo,-125,9.5
Under,Bam Adebayo,-105,9.5
Over,Bismack Biyombo,-135,5.5
Under,Bismack Biyombo,104,5.5
Over,Bismack Biyombo,-140,5.5
Under,Bismack Biyombo,110,5.5
Over,Bismack Biyombo,-135,5.5
Under,Bismack Biyombo,100,5.5
Over,Bismack Biyombo,-135,5.5
Under,Bismack Biyombo,105,5.5
Over,Bradley Beal,-104,3.5
Under,Bradley Beal,-128,3.5
Under,Bradley Beal,-120,3.5
Over,Bradley Beal,-110,3.5
Over,Bradley Beal,-109,3.5
Under,Bradley Beal,-119,3.5
Over,Bradley Beal,-115,3.5
Under,Bradley Beal,-115,3.5
Over,Caris LeVert,-120,3.5
Under,Caris LeVert,-108,3.5
Over,Caris LeVert,-114,3.5
Under,Caris LeVert,-114,3.5
Over,Caris LeVert,-110,3.5
Under,Caris LeVert,-120,3.5
Over,Caris LeVert,-135,3.5
Under,Caris LeVert,100,3.5
Over,Chris Paul,-164,2.5
Under,Chris Paul,125,2.5
Over,Chris Paul,-162,2.5
Under,Chris Paul,122,2.5
Under,Chris Paul,130,2.5
Over,Chris Paul,-166,2.5
Over,Chris Paul,140,3.5
Under,Chris Paul,-190,3.5
Over,Christian Braun,-140,4.5
Under,Christian Braun,106,4.5
Under,Christian Braun,100,4.5
Over,Christian Braun,-130,4.5
Over,Christian Braun,-130,4.5
Under,Christian Braun,101,4.5
Over,Christian Braun,-120,4.5
Under,Christian Braun,-110,4.5
Over,Cole Anthony,122,4.5
Under,Cole Anthony,-159,4.5
Over,Cole Anthony,124,4.5
Under,Cole Anthony,-160,4.5
Over,Cole Anthony,125,4.5
Under,Cole Anthony,-165,4.5
Over,Collin Sexton,-128,2.5
Under,Collin Sexton,-104,2.5
Under,Collin Sexton,100,2.5
Over,Collin Sexton,-130,2.5
Over,Collin Sexton,-135,2.5
Under,Collin Sexton,105,2.5
Over,DaQuan Jeffries,-161,3.5
Under,DaQuan Jeffries,123,3.5
Over,DaQuan Jeffries,-154,3.5
Under,DaQuan Jeffries,120,3.5
Over,DaQuan Jeffries,-160,3.5
Under,DaQuan Jeffries,120,3.5
Over,Darius Garland,142,3.5
Under,Darius Garland,-192,3.5
Under,Darius Garland,130,2.5
Over,Darius Garland,-166,2.5
Over,Darius Garland,132,3.5
Under,Darius Garland,-172,3.5
Over,Darius Garland,120,3.5
Under,Darius Garland,-160,3.5
Over,Davion Mitchell,118,2.5
Under,Davion Mitchell,-154,2.5
Over,Davion Mitchell,115,2.5
Under,Davion Mitchell,-155,2.5
Over,De'Andre Hunter,-162,3.5
Under,De'Andre Hunter,122,3.5
Over,De'Andre Hunter,-145,3.5
Under,De'Andre Hunter,114,3.5
Over,De'Andre Hunter,-154,3.5
Under,De'Andre Hunter,119,3.5
Over,De'Andre Hunter,115,4.5
Under,De'Andre Hunter,-155,4.5
Over,DeMar DeRozan,-158,3.5
Under,DeMar DeRozan,118,3.5
Over,DeMar DeRozan,-160,3.5
Under,DeMar DeRozan,124,3.5
Over,DeMar DeRozan,-156,3.5
Under,DeMar DeRozan,121,3.5
Over,DeMar DeRozan,-160,3.5
Under,DeMar DeRozan,120,3.5
Over,Derrick White,-120,4.5
Under,Derrick White,-108,4.5
Over,Derrick White,-115,4.5
Under,Derrick White,-115,4.5
Over,Derrick White,-125,4.5
Under,Derrick White,-105,4.5
label,description,price,point
Over,Desmond Bane,-154,5.5
Under,Desmond Bane,116,5.5
Over,Desmond Bane,-145,5.5
Under,Desmond Bane,114,5.5
Over,Desmond Bane,-145,5.5
Under,Desmond Bane,112,5.5
Over,Desmond Bane,-145,5.5
Under,Desmond Bane,110,5.5
Over,Desmond Bane,-145,5.5
Under,Desmond Bane,110,5.5
Over,Devin Booker,114,4.5
Under,Devin Booker,-152,4.5
Over,Devin Booker,105,4.5
Under,Devin Booker,-135,4.5
Over,Devin Booker,107,4.5
Under,Devin Booker,-139,4.5
Over,Devin Booker,105,4.5
Under,Devin Booker,-140,4.5
Over,Devin Vassell,-128,4.5
Under,Devin Vassell,-101,4.5
Over,Devin Vassell,-118,4.5
Under,Devin Vassell,-112,4.5
Under,Devin Vassell,100,4.5
Over,Devin Vassell,-130,4.5
Over,Devin Vassell,-135,4.5
Under,Devin Vassell,100,4.5
Over,Dillon Brooks,-143,3.5
Under,Dillon Brooks,110,3.5
Over,Dillon Brooks,-144,3.5
Under,Dillon Brooks,108,3.5
Over,Dillon Brooks,-145,3.5
Under,Dillon Brooks,114,3.5
Over,Dillon Brooks,-145,3.5
Under,Dillon Brooks,110,3.5
Over,Domantas Sabonis,-108,11.5
Under,Domantas Sabonis,-122,11.5
Over,Domantas Sabonis,-110,11.5
Under,Domantas Sabonis,-120,11.5
Over,Domantas Sabonis,-106,11.5
Under,Domantas Sabonis,-122,11.5
Over,Domantas Sabonis,-110,11.5
Under,Domantas Sabonis,-118,11.5
Over,Domantas Sabonis,100,11.5
Under,Domantas Sabonis,-130,11.5
Over,Donte DiVincenzo,124,4.5
Under,Donte DiVincenzo,-161,4.5
Over,Donte DiVincenzo,130,4.5
Under,Donte DiVincenzo,-166,4.5
Over,Donte DiVincenzo,120,4.5
Under,Donte DiVincenzo,-160,4.5
Over,Dyson Daniels,-108,5.5
Under,Dyson Daniels,-120,5.5
Over,Dyson Daniels,-102,5.5
Under,Dyson Daniels,-130,5.5
Over,Dyson Daniels,-115,5.5
Under,Dyson Daniels,-115,5.5
Over,Dyson Daniels,-110,5.5
Under,Dyson Daniels,-120,5.5
Over,Dyson Daniels,-110,5.5
Under,Dyson Daniels,-120,5.5
Over,Evan Mobley,-122,9.5
Under,Evan Mobley,-108,9.5
Under,Evan Mobley,-110,9.5
Over,Evan Mobley,-120,9.5
Over,Evan Mobley,-110,9.5
Under,Evan Mobley,-118,9.5
Over,Evan Mobley,-110,9.5
Under,Evan Mobley,-120,9.5
Over,Evan Mobley,-110,9.5
Under,Evan Mobley,-120,9.5
Over,Franz Wagner,-109,5.5
Under,Franz Wagner,-119,5.5
Over,Franz Wagner,102,5.5
Under,Franz Wagner,-136,5.5
Over,Franz Wagner,-120,5.5
Under,Franz Wagner,-110,5.5
Over,Franz Wagner,-110,5.5
Under,Franz Wagner,-118,5.5
Over,Franz Wagner,-115,5.5
Under,Franz Wagner,-115,5.5
Over,Fred VanVleet,-123,3.5
Under,Fred VanVleet,-105,3.5
Over,Fred VanVleet,-120,3.5
Under,Fred VanVleet,-110,3.5
Under,Fred VanVleet,-110,3.5
Over,Fred VanVleet,-120,3.5
Over,Fred VanVleet,-120,3.5
Under,Fred VanVleet,-110,3.5
Over,Guerschon Yabusele,108,6.5
Under,Guerschon Yabusele,-144,6.5
Under,Guerschon Yabusele,-125,6.5
Over,Guerschon Yabusele,-105,6.5
Over,Guerschon Yabusele,100,6.5
Under,Guerschon Yabusele,-130,6.5
Over,Guerschon Yabusele,100,6.5
Under,Guerschon Yabusele,-135,6.5
Over,Guerschon Yabusele,125,6.5
Under,Guerschon Yabusele,-165,6.5
Over,Harrison Barnes,-130,3.5
Under,Harrison Barnes,100,3.5
Over,Harrison Barnes,-125,3.5
Under,Harrison Barnes,-106,3.5
Under,Harrison Barnes,-105,3.5
Over,Harrison Barnes,-125,3.5
Over,Harrison Barnes,-150,3.5
Under,Harrison Barnes,110,3.5
Over,Immanuel Quickley,-114,3.5
Under,Immanuel Quickley,-114,3.5
Under,Immanuel Quickley,-120,3.5
Over,Immanuel Quickley,-110,3.5
Over,Immanuel Quickley,-105,3.5
Under,Immanuel Quickley,-125,3.5
Over,Immanuel Quickley,-109,3.5
Under,Immanuel Quickley,-119,3.5
Over,Isaac Okoro,-158,2.5
Under,Isaac Okoro,118,2.5
Over,Isaac Okoro,134,3.5
Under,Isaac Okoro,-175,3.5
Over,Isaac Okoro,150,3.5
Under,Isaac Okoro,-200,3.5
Over,Isaiah Collier,128,3.5
Under,Isaiah Collier,-172,3.5
Over,Isaiah Collier,135,3.5
Under,Isaiah Collier,-175,3.5
Over,Isaiah Collier,120,3.5
Under,Isaiah Collier,-160,3.5
Over,Isaiah Collier,132,3.5
Under,Isaiah Collier,-172,3.5
Over,Ivica Zubac,104,13.5
Under,Ivica Zubac,-135,13.5
Over,Ivica Zubac,-138,12.5
Under,Ivica Zubac,104,12.5
Under,Ivica Zubac,110,12.5
Over,Ivica Zubac,-140,12.5
Over,Ivica Zubac,-105,13.5
Under,Ivica Zubac,-130,13.5
Over,Ivica Zubac,100,13.5
Under,Ivica Zubac,-130,13.5
Over,Ja Morant,-172,3.5
Under,Ja Morant,128,3.5
