Over,A.J. Green,-155,5.5
Under,A.J. Green,115,5.5
Over,Aaron Nesmith,-132,10.5
Under,Aaron Nesmith,100,10.5
Over,Aaron Nesmith,-120,10.5
Under,Aaron Nesmith,-110,10.5
Over,Aaron Nesmith,-122,10.5
Under,Aaron Nesmith,-106,10.5
Over,Aaron Nesmith,-125,10.5
Under,Aaron Nesmith,-105,10.5
Over,Aaron Nesmith,-125,10.5
Under,Aaron Nesmith,-105,10.5
Over,Aaron Nesmith,104,11.5
Under,Aaron Nesmith,-137,11.5
Over,Aaron Nesmith,-132,10.5
Under,Aaron Nesmith,100,10.5
Over,Aaron Wiggins,-114,14.5
Under,Aaron Wiggins,-114,14.5
Under,Aaron Wiggins,-120,14.5
Over,Aaron Wiggins,-110,14.5
Over,Aaron Wiggins,-114,14.5
Under,Aaron Wiggins,-114,14.5
Over,Aaron Wiggins,-110,15.5
Under,Aaron Wiggins,-120,15.5
Over,Aaron Wiggins,-105,15.5
Under,Aaron Wiggins,-125,15.5
Under,Alex Caruso,-130,8.5
Over,Alex Caruso,100,8.5
Over,Alex Caruso,-110,8.5
Under,Alex Caruso,-120,8.5
Over,Alex Caruso,-110,8.5
Under,Alex Caruso,-120,8.5
Over,Alex Sarr,-108,13.5
Under,Alex Sarr,-120,13.5
Over,Alex Sarr,-112,13.5
Under,Alex Sarr,-118,13.5
Under,Alex Sarr,-120,13.5
Over,Alex Sarr,-110,13.5
Over,Alex Sarr,-105,13.5
Under,Alex Sarr,-125,13.5
Over,Alex Sarr,-105,13.5
Under,Alex Sarr,-125,13.5
Over,Alex Sarr,-148,12.5
Under,Alex Sarr,108,12.5
Over,Alex Sarr,-108,13.5
Under,Alex Sarr,-122,13.5
Over,Alex Sarr,120,14.5
Under,Alex Sarr,-167,14.5
Over,Alperen Sengun,-114,21.5
Under,Alperen Sengun,-114,21.5
Over,Alperen Sengun,-114,21.5
Under,Alperen Sengun,-114,21.5
Over,Alperen Sengun,-115,21.5
Under,Alperen Sengun,-115,21.5
Over,Alperen Sengun,-105,21.5
Under,Alperen Sengun,-125,21.5
Over,Alperen Sengun,-120,21.5
Under,Alperen Sengun,-110,21.5
Over,Alperen Sengun,117,22.5
Under,Alperen Sengun,-162,22.5
Over,Alperen Sengun,-108,21.5
Under,Alperen Sengun,-124,21.5
Over,Alperen Sengun,-137,20.5
Under,Alperen Sengun,104,20.5
Over,Andrew Nembhard,100,10.5
Under,Andrew Nembhard,-132,10.5
Under,Andrew Nembhard,-130,10.5
Over,Andrew Nembhard,100,10.5
Over,Andrew Nembhard,-101,10.5
Under,Andrew Nembhard,-128,10.5
Over,Andrew Nembhard,100,10.5
Under,Andrew Nembhard,-135,10.5
Over,Andrew Nembhard,100,10.5
Under,Andrew Nembhard,-130,10.5
Over,Andrew Nembhard,-104,10.5
Under,Andrew Nembhard,-129,10.5
Over,Andrew Nembhard,-148,9.5
Under,Andrew Nembhard,110,9.5
Over,Andrew Wiggins,-125,19.5
Under,Andrew Wiggins,-106,19.5
Over,Andrew Wiggins,102,20.5
Under,Andrew Wiggins,-132,20.5
Over,Andrew Wiggins,-115,19.5
Under,Andrew Wiggins,-115,19.5
Over,Andrew Wiggins,100,20.5
Under,Andrew Wiggins,-135,20.5
Over,Andrew Wiggins,125,20.5
Under,Andrew Wiggins,-165,20.5
Over,Andrew Wiggins,-139,19.5
Under,Andrew Wiggins,104,19.5
Over,Andrew Wiggins,-109,20.5
Under,Andrew Wiggins,-122,20.5
Over,Andrew Wiggins,115,21.5
Under,Andrew Wiggins,-157,21.5
Over,Ausar Thompson,100,9.5
Under,Ausar Thompson,-132,9.5
Under,Ausar Thompson,-125,9.5
Over,Ausar Thompson,-105,9.5
Over,Ausar Thompson,102,9.5
Under,Ausar Thompson,-132,9.5
Over,Ausar Thompson,-105,9.5
Under,Ausar Thompson,-130,9.5
Over,Ausar Thompson,-105,9.5
Under,Ausar Thompson,-125,9.5
Over,Ausar Thompson,-104,9.5
Under,Ausar Thompson,-129,9.5
Over,Ausar Thompson,-143,8.5
Under,Ausar Thompson,107,8.5
Over,Bam Adebayo,-112,18.5
Under,Bam Adebayo,-118,18.5
Over,Bam Adebayo,-112,18.5
Under,Bam Adebayo,-115,18.5
Over,Bam Adebayo,-110,18.5
Under,Bam Adebayo,-120,18.5
Over,Bam Adebayo,-120,18.5
Under,Bam Adebayo,-110,18.5
Over,Bam Adebayo,-130,18.5
Under,Bam Adebayo,100,18.5
Over,Bam Adebayo,112,19.5
Under,Bam Adebayo,-152,19.5
Over,Bam Adebayo,-113,18.5
Under,Bam Adebayo,-118,18.5
Over,Bam Adebayo,-150,17.5
Under,Bam Adebayo,110,17.5
Over,Ben Sheppard,100,5.5
Under,Ben Sheppard,-132,5.5
Under,Ben Sheppard,-125,5.5
Over,Ben Sheppard,-105,5.5
Over,Ben Sheppard,-118,4.5
Under,Ben Sheppard,-110,4.5
Over,Bennedict Mathurin,-104,12.5
Under,Bennedict Mathurin,-128,12.5
Over,Bennedict Mathurin,-125,11.5
Under,Bennedict Mathurin,-105,11.5
Over,Bennedict Mathurin,-115,12.5
Under,Bennedict Mathurin,-112,12.5
Over,Bennedict Mathurin,-125,12.5
Under,Bennedict Mathurin,-105,12.5
Over,Bennedict Mathurin,-120,12.5
Under,Bennedict Mathurin,-110,12.5
Over,Bismack Biyombo,-122,4.5
Under,Bismack Biyombo,-108,4.5
Over,Bismack Biyombo,-105,5.5
Under,Bismack Biyombo,-130,5.5
Over,Brook Lopez,-106,13.5
Under,Brook Lopez,-125,13.5
Under,Brook Lopez,-115,13.5
Over,Brook Lopez,-115,13.5
Over,Brook Lopez,-108,13.5
Under,Brook Lopez,-120,13.5
Over,Brook Lopez,100,13.5
Under,Brook Lopez,-130,13.5
Over,Brook Lopez,-130,13.5
Under,Brook Lopez,100,13.5
Over,Brook Lopez,102,13.5
Under,Brook Lopez,-134,13.5
Over,Brook Lopez,-134,12.5
Under,Brook Lopez,100,12.5
Under,Buddy Hield,-110,8.5
Over,Buddy Hield,-120,8.5
Over,Buddy Hield,-132,8.5
Under,Buddy Hield,102,8.5
Over,Buddy Hield,-125,8.5
Under,Buddy Hield,-110,8.5
Over,Buddy Hield,-150,8.5
Under,Buddy Hield,115,8.5
Over,C.J. McCollum,-110,18.5
Under,C.J. McCollum,-118,18.5
Over,C.J. McCollum,-122,18.5
Under,C.J. McCollum,-108,18.5
Over,C.J. McCollum,-110,18.5
Under,C.J. McCollum,-120,18.5
Under,C.J. McCollum,-120,18.5
Over,C.J. McCollum,-110,18.5
Over,C.J. McCollum,-105,18.5
Under,C.J. McCollum,-125,18.5
Over,C.J. McCollum,112,19.5
Under,C.J. McCollum,-152,19.5
