player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,projection,recent_form,edge
Trae Young,-150.0,-108.0,27.5,36.0,22.0,28.0,12.0,19.0,17.0,11.0,38.0,38.0,38.0,25.9,26.7,-76.83333333333333,-1.6000000000000014
Tre Jones,-157.0,-110.0,10.5,15.0,20.0,9.0,11.0,10.0,16.0,4.0,4.0,5.0,15.0,10.9,10.7,-85.5,0.40000000000000036
Tyler Herro,-159.0,-105.0,23.5,21.0,22.0,16.0,22.0,29.0,24.0,11.0,40.0,28.0,40.0,25.3,24.4,-80.16666666666667,1.8000000000000007
Tyrese Haliburton,-141.0,100.0,19.5,28.0,17.0,19.0,33.0,19.0,29.0,22.0,20.0,16.0,19.0,22.2,20.85,-7.166666666666667,2.6999999999999993
Tyrese Maxey,-120.0,-110.0,23.5,5.0,5.0,30.0,13.0,31.0,16.0,5.0,39.0,27.0,31.0,20.2,21.85,-68.83333333333333,-3.3000000000000007
Vincent Williams Jr,-167.0,-114.0,11.5,,,,,,,,,,,,,-89.83333333333333,
Walker Kessler,-132.0,100.0,12.5,18.0,14.0,9.0,25.0,11.0,4.0,16.0,13.0,19.0,15.0,14.4,13.45,-6.5,1.9000000000000004
Wendell Carter Jr,-159.0,116.0,9.5,,,,,,,,,,,,,-11.166666666666666,
Zaccharie Risacher,-130.0,-103.0,12.5,6.0,11.0,7.0,27.0,12.0,11.0,2.0,19.0,11.0,16.0,12.2,12.35,-73.5,-0.3000000000000007
Zach Edey,-143.0,100.0,9.5,6.0,8.0,6.0,15.0,17.0,10.0,8.0,6.0,2.0,5.0,8.3,8.9,-11.166666666666666,-1.1999999999999993
Zach LaVine,-125.0,-105.0,22.5,30.0,36.0,20.0,22.0,20.0,22.0,42.0,13.0,32.0,23.0,26.0,24.25,-69.16666666666667,3.5
Ziaire Williams,-132.0,100.0,10.5,,,,,,,,,,,,,-7.166666666666667,
description,,,,,,,,,,,,,,,,,
