player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,category,AI_Projection,AI_Edge
Grayson Allen,130.0,-169.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,Rebounds,2.1735000000000038,0.17350000000000376
Guerschon Yabusele,-135.0,100.0,5.0,3.0,2.0,4.0,7.0,3.0,6.0,1.0,8.0,8.0,2.0,4.4,Rebounds,4.643100000000004,-0.356899999999996
Haywood Highsmith,100.0,-130.0,3.0,,,,,,,,,,,,Rebounds,4.665150000000001,1.6651500000000006
Isaiah Hartenstein,-115.0,-115.0,10.0,7.0,11.0,15.0,5.0,11.0,10.0,2.0,5.0,9.0,13.0,8.8,Rebounds,9.97080000000001,-0.029199999999990567
Isaiah Joe,115.0,-150.0,2.0,2.0,0.0,6.0,3.0,0.0,2.0,3.0,1.0,5.0,1.0,2.3,Rebounds,2.311050000000003,0.31105000000000294
Ivica Zubac,-125.0,-105.0,12.0,11.0,14.0,14.0,11.0,10.0,10.0,16.0,10.0,15.0,6.0,11.7,Rebounds,11.791500000000006,-0.2084999999999937
Ja Morant,100.0,-130.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,0.0,7.0,3.6,Rebounds,3.8136000000000054,-0.18639999999999457
Jabari Smith Jr,116.0,-154.0,6.0,,,,,,,,,,,,Rebounds,5.045250000000001,-0.9547499999999989
Jaden McDaniels,-140.0,105.0,5.0,4.0,6.0,10.0,3.0,7.0,10.0,8.0,10.0,13.0,6.0,7.7,Rebounds,7.6082999999999945,2.6082999999999945
Jakob Poeltl,-145.0,101.0,8.0,5.0,7.0,11.0,4.0,5.0,2.0,10.0,9.0,8.0,14.0,7.5,Rebounds,8.634149999999995,0.6341499999999947
Jalen Green,-106.0,-122.0,4.0,7.0,7.0,2.0,4.0,6.0,2.0,7.0,8.0,3.0,5.0,5.1,Rebounds,5.254200000000003,1.2542000000000026
Jamal Murray,-120.0,-110.0,3.0,4.0,2.0,1.0,4.0,6.0,3.0,3.0,1.0,3.0,1.0,2.8,Rebounds,2.8875000000000015,-0.11249999999999849
Jamal Shead,-160.0,124.0,3.0,4.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.2,Rebounds,2.3341500000000024,-0.6658499999999976
James Harden,-105.0,-125.0,5.0,4.0,9.0,3.0,4.0,6.0,2.0,7.0,2.0,12.0,7.0,5.6,Rebounds,6.014399999999995,1.0143999999999949
Jaylen Brown,-149.0,105.0,6.0,8.0,6.0,8.0,5.0,5.0,5.0,8.0,6.0,3.0,5.0,5.9,Rebounds,6.106800000000003,0.10680000000000334
Jaylen Wells,-120.0,-108.0,3.0,6.0,7.0,5.0,5.0,2.0,2.0,1.0,5.0,4.0,3.0,4.0,Rebounds,4.125450000000004,1.1254500000000043
Jayson Tatum,-154.0,-105.0,9.0,12.0,7.0,11.0,16.0,6.0,6.0,10.0,11.0,14.0,8.0,10.1,Rebounds,10.168200000000008,1.1682000000000077
Josh Green,-172.0,128.0,2.0,6.0,4.0,3.0,1.0,4.0,2.0,1.0,0.0,2.0,3.0,2.6,Rebounds,2.6627999999999985,0.6627999999999985
Josh Hart,-130.0,100.0,9.0,6.0,20.0,10.0,8.0,7.0,4.0,17.0,11.0,10.0,10.0,10.3,Rebounds,10.727850000000004,1.7278500000000037
Jrue Holiday,-154.0,105.0,4.0,6.0,5.0,2.0,4.0,1.0,6.0,5.0,3.0,7.0,5.0,4.4,Rebounds,4.552800000000004,0.552800000000004
Julius Randle,-145.0,100.0,7.0,7.0,10.0,10.0,8.0,6.0,1.0,7.0,8.0,7.0,6.0,7.0,Rebounds,7.173600000000007,0.17360000000000664
Justin Edwards,-150.0,106.0,3.0,1.0,4.0,4.0,6.0,1.0,1.0,5.0,2.0,4.0,3.0,3.1,Rebounds,3.220349999999999,0.22034999999999894
Karl-Anthony Towns,-110.0,-120.0,12.0,9.0,10.0,14.0,16.0,7.0,18.0,7.0,18.0,10.0,12.0,12.1,Rebounds,11.770500000000009,-0.22949999999999093
Kel'el Ware,-122.0,-108.0,9.0,5.0,12.0,8.0,12.0,8.0,15.0,12.0,6.0,9.0,6.0,9.3,Rebounds,9.768150000000002,0.7681500000000021
Kelly Oubre Jr,-160.0,114.0,5.0,,,,,,,,,,,,Rebounds,5.086200000000002,0.08620000000000161
Kevin Durant,-125.0,-105.0,5.0,5.0,9.0,9.0,7.0,10.0,2.0,5.0,8.0,4.0,10.0,6.9,Rebounds,6.644400000000004,1.6444000000000036
Klay Thompson,100.0,-130.0,4.0,2.0,5.0,4.0,4.0,3.0,2.0,2.0,8.0,2.0,3.0,3.5,Rebounds,3.7821000000000056,-0.21789999999999443
Kris Dunn,-155.0,102.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,9.0,4.0,5.0,5.0,3.7,Rebounds,3.5899500000000004,0.5899500000000004
Kristaps Porzingis,-150.0,105.0,5.0,2.0,7.0,4.0,6.0,9.0,5.0,7.0,7.0,5.0,11.0,6.3,Rebounds,6.482700000000006,1.4827000000000057
LaMelo Ball,105.0,-143.0,5.0,6.0,1.0,10.0,9.0,7.0,6.0,4.0,5.0,1.0,4.0,5.3,Rebounds,5.874749999999993,0.8747499999999926
Landry Shamet,-115.0,-114.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.1,Rebounds,2.239650000000003,1.2396500000000028
Lauri Markkanen,-145.0,114.0,5.0,10.0,4.0,6.0,5.0,3.0,7.0,7.0,11.0,2.0,9.0,6.4,Rebounds,6.499500000000005,1.4995000000000047
Luguentz Dort,-172.0,125.0,3.0,7.0,6.0,4.0,0.0,9.0,4.0,1.0,3.0,3.0,2.0,3.9,Rebounds,4.015200000000006,1.0152000000000063
Mark Williams,-110.0,-118.0,10.0,10.0,8.0,13.0,12.0,16.0,12.0,5.0,9.0,5.0,14.0,10.4,Rebounds,10.968300000000006,0.9683000000000064
Mason Plumlee,104.0,-138.0,7.0,8.0,5.0,11.0,6.0,7.0,9.0,8.0,7.0,3.0,6.0,7.0,Rebounds,7.271250000000006,0.27125000000000643
Max Christie,-135.0,100.0,4.0,4.0,3.0,5.0,2.0,5.0,2.0,4.0,1.0,4.0,4.0,3.4,Rebounds,3.6224999999999996,-0.3775000000000004
Michael Porter Jr,100.0,-130.0,7.0,,,,,,,,,,,,Rebounds,5.782349999999999,-1.2176500000000008
Mikal Bridges,-110.0,-118.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,0.0,1.0,10.0,3.3,Rebounds,3.418800000000005,0.41880000000000495
Mike Conley,103.0,-133.0,2.0,5.0,2.0,7.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,2.4,Rebounds,2.4822000000000006,0.48220000000000063
Miles Bridges,100.0,-130.0,7.0,5.0,12.0,8.0,9.0,9.0,7.0,12.0,7.0,6.0,3.0,7.8,Rebounds,8.506049999999998,1.5060499999999983
Miles McBride,120.0,-159.0,3.0,3.0,2.0,5.0,4.0,2.0,4.0,2.0,2.0,3.0,6.0,3.3,Rebounds,3.473400000000006,0.47340000000000604
Mitchell Robinson,-140.0,-105.0,4.0,5.0,4.0,5.0,2.0,5.0,,,,,,4.2,Rebounds,4.323900000000006,0.3239000000000063
Mouhamed Gueye,118.0,-154.0,4.0,7.0,0.0,5.0,5.0,1.0,1.0,3.0,2.0,2.0,3.0,2.9,Rebounds,3.213000000000004,-0.7869999999999959
Nick Richards,100.0,-130.0,8.0,12.0,9.0,5.0,7.0,8.0,12.0,16.0,4.0,8.0,10.0,9.1,Rebounds,9.713550000000003,1.7135500000000032
Nickeil Alexander-Walker,-135.0,100.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,5.0,2.0,5.0,2.9,Rebounds,2.985149999999999,0.9851499999999991
Nicolas Batum,-114.0,-114.0,3.0,2.0,4.0,4.0,3.0,3.0,1.0,0.0,2.0,3.0,2.0,2.4,Rebounds,2.53575,-0.46424999999999983
Nikola Jokic,-103.0,-125.0,13.0,18.0,13.0,21.0,15.0,14.0,17.0,14.0,9.0,13.0,17.0,15.1,Rebounds,12.04875000000001,-0.9512499999999893
OG Anunoby,109.0,-140.0,5.0,7.0,8.0,4.0,3.0,9.0,3.0,9.0,2.0,0.0,1.0,4.6,Rebounds,4.8825,-0.11749999999999972
